10:43:43 INFO  manager.ApplicationManager - Tests starts on Chrome Driver
10:43:47 INFO  manager.MyListener - Start search element by locator-->By.xpath: //a[contains(text(),'Logout')]
10:44:02 INFO  manager.MyListener - The element with locator-->By.xpath: //a[contains(text(),'Logout')] was found
10:44:02 INFO  tests.TestBase - Test Registration Positive starts with email--->rona666@mail.ru
10:44:02 INFO  tests.TestBase - Test Registration Positive starts with password--->KoronA10!
10:44:02 INFO  manager.MyListener - Start search element by locator-->By.xpath: //a[text()=' Log in ']
10:44:02 INFO  manager.MyListener - The element with locator-->By.xpath: //a[text()=' Log in '] was found
10:44:02 INFO  manager.MyListener - Click on WebElement by Css locator-->[[ChromeDriver: chrome on WINDOWS (5904e73d640da3d746dc4ec090196b45)] -> xpath: //a[text()=' Log in ']]
10:44:02 INFO  manager.MyListener - Start search element by locator-->By.xpath: //input[@id='email']
10:44:02 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@id='email'] was found
10:44:02 INFO  manager.MyListener - Click on WebElement by Css locator-->[[ChromeDriver: chrome on WINDOWS (5904e73d640da3d746dc4ec090196b45)] -> xpath: //input[@id='email']]
10:44:02 INFO  manager.MyListener - Start search element by locator-->By.xpath: //input[@id='password']
10:44:02 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@id='password'] was found
10:44:02 INFO  manager.MyListener - Click on WebElement by Css locator-->[[ChromeDriver: chrome on WINDOWS (5904e73d640da3d746dc4ec090196b45)] -> xpath: //input[@id='password']]
10:44:02 INFO  manager.MyListener - Start search element by locator-->By.xpath: //button[@type='submit']
10:44:02 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit'] was found
10:44:07 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: .dialog-container
10:44:07 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-container was found
10:44:07 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: .dialog-container h2
10:44:07 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-container h2 was found
10:44:07 INFO  manager.MyListener - Start search element by locator-->By.xpath: //button[text()='Ok']
10:44:07 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok'] was found
10:44:07 INFO  manager.MyListener - Start search element by locator-->By.xpath: //button[text()='Ok']
10:44:08 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok'] was found
10:44:08 INFO  manager.MyListener - Click on WebElement by Css locator-->[[ChromeDriver: chrome on WINDOWS (5904e73d640da3d746dc4ec090196b45)] -> xpath: //button[text()='Ok']]
